"Woonplaatsen in Nederland 2018"
""
"";"Onderwerp"
"";"Gemeente|Naam ";"Gemeente|Code ";"Provincie|Naam";"Provincie|Code";"Landsdeel|Naam";"Landsdeel|Code"
"Geleen";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gellicum";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gelselaar";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gemert";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Gemonde";"Sint-Michielsgestel";"GM0845";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Genderen";"Aalburg";"GM0738";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Gendringen";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gendt";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Genemuiden";"Zwartewaterland";"GM1896";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Gennep";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gerkesklooster";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Gersloot";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Geulle";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Giesbeek";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Giessen";"Woudrichem";"GM0874";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Giessenburg";"Giessenlanden";"GM0689";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gieten";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Gieterveen";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Giethmen";"Ommen";"GM0175";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Giethoorn";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Gilze";"GilzeenRijen";"GM0784";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Ginnum";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Glane";"Losser";"GM0168";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Glimmen";"Haren";"GM0017";"Groningen";"PV20";"Noord-Nederland";"LD01"
"De Glind";"Barneveld";"GM0203";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Godlinze";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Goedereede";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goënga";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Goëngahuizen";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Goes";"Goes";"GM0664";"Zeeland";"PV29";"West-Nederland";"LD03"
"Goingarijp";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Goirle";"Goirle";"GM0785";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Goor";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"De Goorn";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Gorinchem";"Gorinchem";"GM0512";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gorredijk";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Gorssel";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gouda";"Gouda";"GM0513";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gouderak";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goudriaan";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goudswaard";"Korendijk";"GM0588";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goutum";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"'t Goy";"Houten";"GM0321";"Utrecht";"PV26";"West-Nederland";"LD03"
"Graauw";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Grafhorst";"Kampen";"GM0166";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Graft";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Gramsbergen";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Grashoek";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grathem";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grave";"Grave";"GM0786";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'s-Graveland";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"'s-Gravendeel";"Binnenmaas";"GM0585";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"'s-Gravenhage";"'s-Gravenhage";"GM0518";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"'s Gravenmoer";"Dongen";"GM0766";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'s-Gravenpolder";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"'s-Gravenzande";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Greonterp";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Grevenbicht";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Griendtsveen";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grijpskerk";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Grijpskerke";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Groede";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Groenekan";"DeBilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Groeningen";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Groenlo";"OostGelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groesbeek";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groessen";"Duiven";"GM0226";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groet";"Bergen(NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"De Groeve";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Grolloo";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Groningen";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Gronsveld";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Groot-Ammers";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Grootebroek";"StedeBroec";"GM0532";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Grootegast";"Grootegast";"GM0015";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Grootschermer";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Grou";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Grubbenvorst";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gulpen";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Guttecoven";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gytsjerk";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haaften";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haaksbergen";"Haaksbergen";"GM0158";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haalderen";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"'t Haantje";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Haaren";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haarle";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haarle";"Hellendoorn";"GM0163";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haarlem";"Haarlem";"GM0392";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Haarlemmerliede";"HaarlemmerliedeenSpaarnwoude";"GM0393";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Haarlo";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haarsteeg";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haarzuilens";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Haastrecht";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Haelen";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hagestein";"Vianen";"GM0620";"Utrecht";"PV26";"West-Nederland";"LD03"
"Haghorst";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haler";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Halfweg";"HaarlemmerliedeenSpaarnwoude";"GM0393";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hall";"Brummen";"GM0213";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Halle";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hallum";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Halsteren";"BergenopZoom";"GM0748";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Den Ham";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Den Ham";"Twenterand";"GM1700";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Handel";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hank";"Werkendam";"GM0870";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hansweert";"Reimerswaal";"GM0703";"Zeeland";"PV29";"West-Nederland";"LD03"
"Hantum";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hantumeruitburen";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hantumhuizen";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hapert";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haps";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Harbrinkhoek";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"'t Harde";"Elburg";"GM0230";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hardenberg";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Harderwijk";"Harderwijk";"GM0243";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hardinxveld-Giessendam";"Hardinxveld-Giessendam";"GM0523";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Haren";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haren Gn";"Haren";"GM0017";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Harfsen";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Harich";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haringhuizen";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Harkema";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Harkstede";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Harkstede GN";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Harlingen";"Harlingen";"GM0072";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Harmelen";"Woerden";"GM0632";"Utrecht";"PV26";"West-Nederland";"LD03"
"Harreveld";"OostGelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Harskamp";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hartwerd";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haskerdijken";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haskerhorne";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hasselt";"Zwartewaterland";"GM1896";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hattem";"Hattem";"GM0244";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hattemerbroek";"Oldebroek";"GM0269";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haule";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haulerwijk";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hauwert";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Havelte";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Havelterberg";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Hazerswoude-Dorp";"AlphenaandenRijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hazerswoude-Rijndijk";"AlphenaandenRijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hedel";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hedikhuizen";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hee";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Heeg";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Heel";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heelsum";"Renkum";"GM0274";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heelweg";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heemserveen";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Heemskerk";"Heemskerk";"GM0396";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Heemstede";"Heemstede";"GM0397";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"De Heen";"Steenbergen";"GM0851";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heenvliet";"Nissewaard";"GM1930";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"'s-Heer Abtskerke";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"'s-Heer Arendskerke";"Goes";"GM0664";"Zeeland";"PV29";"West-Nederland";"LD03"
"'s-Heer Hendrikskinderen";"Goes";"GM0664";"Zeeland";"PV29";"West-Nederland";"LD03"
"Heerde";"Heerde";"GM0246";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"'s-Heerenberg";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"'s-Heerenbroek";"Kampen";"GM0166";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"'s-Heerenhoek";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Heerenveen";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Heerewaarden";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heerhugowaard";"Heerhugowaard";"GM0398";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Heerjansdam";"Zwijndrecht";"GM0642";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Heerle";"Roosendaal";"GM1674";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heerlen";"Heerlen";"GM0917";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heesbeen";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heesch";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heesselt";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heeswijk-Dinther";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heeten";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Heeze";"Heeze-Leende";"GM1658";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hegebeintum";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hegelsom";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hei- en Boeicop";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Heibloem";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heide";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"It Heidenskip";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ter Heijde";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Heijen";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heijenrath";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heijningen";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heikant";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Heilig Landstichting";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heiligerlee";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Heiloo";"Heiloo";"GM0399";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Heinenoord";"Binnenmaas";"GM0585";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Heinkenszand";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Heino";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hekelingen";"Nissewaard";"GM1930";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hekendorp";"Oudewater";"GM0589";"Utrecht";"PV26";"West-Nederland";"LD03"
"Helden";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Den Helder";"DenHelder";"GM0400";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Helenaveen";"Deurne";"GM0762";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hellendoorn";"Hellendoorn";"GM0163";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hellevoetsluis";"Hellevoetsluis";"GM0530";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hellouw";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hellum";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Helmond";"Helmond";"GM0794";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Helvoirt";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hem";"Drechterland";"GM0498";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hemelum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hemmen";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hempens";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hemrik";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hendrik-Ido-Ambacht";"Hendrik-Ido-Ambacht";"GM0531";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hengelo";"Hengelo";"GM0164";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hengelo (Gld)";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hengevelde";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hengstdijk";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Hensbroek";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Herbaijum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Herkenbosch";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Herkingen";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hernen";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Herpen";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Herpt";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Herten";"Roermond";"GM0957";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hertme";"Borne";"GM0147";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"'s-Hertogenbosch";"'s-Hertogenbosch";"GM0796";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Herveld";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Herwen";"Zevenaar";"GM0299";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Herwijnen";"Lingewaal";"GM0733";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heteren";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heukelom";"Oisterwijk";"GM0824";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heukelum";"Lingewaal";"GM0733";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heumen";"Heumen";"GM0252";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"De Heurne";"Aalten";"GM0197";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heusden";"Asten";"GM0743";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heusden";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heveadorp";"Renkum";"GM0274";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heythuysen";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hezingen";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hiaure";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hichtum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hidaard";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hierden";"Harderwijk";"GM0243";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hieslum";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hijken";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Hijum";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hilaard";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hillegom";"Hillegom";"GM0534";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hilvarenbeek";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hilversum";"Hilversum";"GM0402";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hindeloopen";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hinnaard";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hippolytushoef";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hitzum";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hobrede";"Edam-Volendam";"GM0385";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hoedekenskerke";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"de Hoef";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Hoef en Haag";"Vianen";"GM0620";"Utrecht";"PV26";"West-Nederland";"LD03"
"Hoek";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Hoek van Holland";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hoenderloo";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hoenderloo";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hoensbroek";"Heerlen";"GM0917";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hoenzadriel";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"De Hoeve";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hoevelaken";"Nijkerk";"GM0267";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hoeven";"Halderberge";"GM1655";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hoge Hexel";"Wierden";"GM0189";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hollandsche Rading";"DeBilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Hollandscheveld";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Hollum";"Ameland";"GM0060";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Holsloot";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Holten";"Rijssen-Holten";"GM1742";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Holthees";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Holtheme";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Holthone";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Holtum";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Holwerd";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Holwierde";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Hommerts";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
